candidate_election_id,candidate_clean,candidate_raw,party_id,state,constituency,election_year
CAND_2019_ANDHRA_PRADESH_ELURU_RPIA_MATHE_BOBBY,MATHE. BOBBY,MATHE. BOBBY,RPI(A),Andhra Pradesh,Eluru,2019
CAND_2019_ANDHRA_PRADESH_ELURU_TDP_MAGANTTI_VENKATESWARA_RAO_BABU,MAGANTTI VENKATESWARA RAO BABU,MAGANTTI VENKATESWARA RAO BABU,TDP,Andhra Pradesh,Eluru,2019
CAND_2019_ANDHRA_PRADESH_ELURU_YSRCP_KOTAGIRI_SRIDHAR,KOTAGIRI SRIDHAR,KOTAGIRI SRIDHAR,YSRCP,Andhra Pradesh,Eluru,2019
CAND_2019_ANDHRA_PRADESH_GUNTUR_AINPP_JELDI_RAJA_MOHAN,JELDI RAJA MOHAN,Jeldi Raja Mohan,AINPP,Andhra Pradesh,Guntur,2019
CAND_2019_ANDHRA_PRADESH_GUNTUR_BJP_JAYAPRAKASH_NARAYANA_VALLURU,JAYAPRAKASH NARAYANA VALLURU,Jayaprakash Narayana Valluru,BJP,Andhra Pradesh,Guntur,2019
CAND_2019_ANDHRA_PRADESH_GUNTUR_CPIM_MANNAVA_HARIPRASAD,MANNAVA HARIPRASAD,Mannava Hariprasad,CPIM,Andhra Pradesh,Guntur,2019
CAND_2019_ANDHRA_PRADESH_GUNTUR_HMRD_ULLAGI_DAVID_JAYAKUMAR_DR_D_J_KUMAR,ULLAGI DAVID JAYAKUMAR DR. D J KUMAR,Ullagi David Jayakumar (Dr. D J Kumar),HMRD,Andhra Pradesh,Guntur,2019
CAND_2019_ANDHRA_PRADESH_GUNTUR_ILPAP_SARABANDI_RAJU_SIKHINAM,SARABANDI RAJU SIKHINAM,Sarabandi Raju Sikhinam,ILP(AP),Andhra Pradesh,Guntur,2019
CAND_2019_ANDHRA_PRADESH_GUNTUR_INC_SHAIK_MASTANVALI,SHAIK MASTANVALI,Shaik Mastanvali,INC,Andhra Pradesh,Guntur,2019
CAND_2019_ANDHRA_PRADESH_GUNTUR_IND_DASARI_KIRAN_BABU,DASARI KIRAN BABU,Dasari Kiran Babu,IND,Andhra Pradesh,Guntur,2019
CAND_2019_ANDHRA_PRADESH_GUNTUR_IND_UMAR_BASHA_SHAIK,UMAR BASHA SHAIK,Umar Basha Shaik,IND,Andhra Pradesh,Guntur,2019
CAND_2019_ANDHRA_PRADESH_GUNTUR_IND_Y_V_SURESH,Y. V. SURESH,Y. V. Suresh,IND,Andhra Pradesh,Guntur,2019
CAND_2019_ANDHRA_PRADESH_GUNTUR_IND_DOPPALAPUDI_VEERA_DAS,DOPPALAPUDI VEERA DAS,Doppalapudi Veera Das,IND,Andhra Pradesh,Guntur,2019
CAND_2019_ANDHRA_PRADESH_GUNTUR_JNP_BONABOYINA_SRINIVASA_RAO_BONABOYINA_SRINIVASA_YADAV,BONABOYINA SRINIVASA RAO BONABOYINA SRINIVASA YADAV,Bonaboyina Srinivasa Rao (Bonaboyina Srinivasa Yadav),JNP,Andhra Pradesh,Guntur,2019
