state,constituency,state_key,constituency_key,variable,value,unit,source_name,source_url_or_document,source_year,geography_level,method,confidence,notes,entered_by,last_updated
Tamil Nadu,TIRUNELVELI,TAMIL NADU,TIRUNELVELI,religion_muslim_pct,,percent,,,,,,,,,
Tamil Nadu,TIRUNELVELI,TAMIL NADU,TIRUNELVELI,population_density,,persons_per_sq_km,,,,,,,,,
Tamil Nadu,TIRUNELVELI,TAMIL NADU,TIRUNELVELI,sex_ratio,,females_per_1000_males,,,,,,,,,
Rajasthan,JAIPUR RURAL,RAJASTHAN,JAIPUR RURAL,urban_pct,,percent,,,,,,,,,
Rajasthan,JAIPUR RURAL,RAJASTHAN,JAIPUR RURAL,literacy_rate,,percent,,,,,,,,,
Rajasthan,JAIPUR RURAL,RAJASTHAN,JAIPUR RURAL,sc_pct,,percent,,,,,,,,,
Rajasthan,JAIPUR RURAL,RAJASTHAN,JAIPUR RURAL,st_pct,,percent,,,,,,,,,
Rajasthan,JAIPUR RURAL,RAJASTHAN,JAIPUR RURAL,religion_hindu_pct,,percent,,,,,,,,,
Rajasthan,JAIPUR RURAL,RAJASTHAN,JAIPUR RURAL,religion_muslim_pct,,percent,,,,,,,,,
Rajasthan,JAIPUR RURAL,RAJASTHAN,JAIPUR RURAL,population_density,,persons_per_sq_km,,,,,,,,,
Rajasthan,JAIPUR RURAL,RAJASTHAN,JAIPUR RURAL,sex_ratio,,females_per_1000_males,,,,,,,,,
