year,geography_level,state,voter_group_type,voter_group,party_or_alliance,pre_poll_vote_share,post_poll_vote_share,pre_to_post_shift,absolute_shift,shift_direction,notes
2019,national,,gender,,Others,34.0,20.0,-14.0,14.0,decreased_post_poll,
2019,national,,gender,,Others,34.0,42.0,8.0,8.0,increased_post_poll,
2019,national,,gender,,Others,34.0,30.0,-4.0,4.0,decreased_post_poll,
2019,national,,gender,,Others,34.0,40.0,6.0,6.0,increased_post_poll,
2019,national,,gender,,Others,34.0,22.0,-12.0,12.0,decreased_post_poll,
2019,national,,gender,,Others,34.0,14.0,-20.0,20.0,decreased_post_poll,
2019,national,,gender,,Others,34.0,90.0,56.0,56.0,increased_post_poll,
2019,national,,gender,,Others,34.0,20.0,-14.0,14.0,decreased_post_poll,
2019,national,,gender,,Others,34.0,10.0,-24.0,24.0,decreased_post_poll,
2019,national,,gender,,Others,34.0,60.0,26.0,26.0,increased_post_poll,
2019,national,,gender,,Others,34.0,71.0,37.0,37.0,increased_post_poll,
2019,national,,gender,,Others,34.0,3.0,-31.0,31.0,decreased_post_poll,
2019,national,,gender,,Others,34.0,62.0,28.0,28.0,increased_post_poll,
2019,national,,gender,,Others,34.0,10.0,-24.0,24.0,decreased_post_poll,
2019,national,,gender,,Others,34.0,33.0,-1.0,1.0,decreased_post_poll,
2019,national,,gender,,Others,34.0,0.0,-34.0,34.0,decreased_post_poll,
2019,national,,gender,,Others,34.0,10.0,-24.0,24.0,decreased_post_poll,
2019,national,,gender,,Others,34.0,11.0,-23.0,23.0,decreased_post_poll,
2019,national,,gender,,Others,34.0,65.3,31.3,31.3,increased_post_poll,
2019,national,,gender,,Others,34.0,4.0,-30.0,30.0,decreased_post_poll,
2019,national,,gender,,Others,34.0,20.0,-14.0,14.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,29.0,-59.0,59.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,10.0,-78.0,78.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,20.0,-68.0,68.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,42.0,-46.0,46.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,30.0,-58.0,58.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,40.0,-48.0,48.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,22.0,-66.0,66.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,14.0,-74.0,74.0,decreased_post_poll,
2019,national,,gender,,Others,88.0,90.0,2.0,2.0,increased_post_poll,
2019,national,,gender,,Others,88.0,20.0,-68.0,68.0,decreased_post_poll,
