state,constituency,candidate,gender,age,category,party,party_symbol,total_votes_polled_in_the_constituency,valid_votes,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,over_total_valid_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes
Andhra Pradesh,Bapatla,KATTAPOGU. VIJAY KUMAR,MALE,57.0,SC,PPOI,Television,1308243.0,1287022.0,893.0,4.0,897.0,0.06,0.07,0.07,1511177.0,2024,9,False,0.06896048034011278,797.0,
Andhra Pradesh,Bapatla,KONDRU KIRAN KUMAR,MALE,46.0,SC,IND,Ganna kisan,1308243.0,1287022.0,791.0,6.0,797.0,0.05,0.06,0.06,1511177.0,2024,10,False,0.06127257840698984,729.0,
Andhra Pradesh,Bapatla,KATTA ANAND BABU,MALE,32.0,SC,IND,Air conditioner,1308243.0,1287022.0,704.0,25.0,729.0,0.05,0.06,0.06,1511177.0,2024,11,False,0.056044805092466246,673.0,
Andhra Pradesh,Bapatla,MERUGUPALA SADASIVA RAO,MALE,37.0,SC,IPBP,Trumpet,1308243.0,1287022.0,669.0,4.0,673.0,0.04,0.05,0.05,1511177.0,2024,12,False,0.051739580009917394,549.0,
Andhra Pradesh,Bapatla,KATTA HEMANAND,MALE,43.0,SC,IND,Diamond,1308243.0,1287022.0,547.0,2.0,549.0,0.04,0.04,0.04,1511177.0,2024,13,False,0.04220658161284494,412.0,
Andhra Pradesh,Bapatla,PARRE. KOTAIAH,MALE,41.0,SC,JRBP,Coat,1308243.0,1287022.0,408.0,4.0,412.0,0.03,0.03,0.03,1511177.0,2024,14,False,0.031674155964466516,306.0,
Andhra Pradesh,Bapatla,PALADUG VIJENDRA RAO (BAHUJAN),MALE,58.0,SC,LBCP,Well,1308243.0,1287022.0,294.0,12.0,306.0,0.02,0.02,0.02,1511177.0,2024,15,False,0.0235249799153562,255.0,
Andhra Pradesh,Bapatla,CHINNAM MURALIDHAR,MALE,67.0,SC,AlPP,Cot,1308243.0,1287022.0,252.0,3.0,255.0,0.02,0.02,0.02,1511177.0,2024,16,False,0.0196041499294635,,
Andhra Pradesh,Chittoor,DAGGUMALLA PRASADA RAO,MALE,62.0,SC,TDP,Bicycle,1425910.0,1406881.0,765536.0,12535.0,778071.0,47.34,54.57,55.3,1643593.0,2024,1,True,54.83787302032551,557592.0,220479.0
Andhra Pradesh,Chittoor,REDDEPPA.N .,MALE,73.0,SC,YSRCP,Ceiling fan,1425910.0,1406881.0,552469.0,5123.0,557592.0,33.93,39.1,39.63,1643593.0,2024,2,False,39.29867491931886,30150.0,
Andhra Pradesh,Chittoor,MOTUKUR JAGAPATHI,MALE,48.0,SC,INC,Hand,1425910.0,1406881.0,29431.0,719.0,30150.0,1.83,2.11,2.14,1643593.0,2024,3,False,2.1249498716220168,13511.0,
Andhra Pradesh,Chittoor,THOGURU VIJAYA KUMAR,MALE,64.0,SC,BSP,Elephant,1425910.0,1406881.0,13389.0,122.0,13511.0,0.82,0.95,0.96,1643593.0,2024,4,False,0.9522453636976806,11976.0,
