party,votes,vote_share_pct,seats,seat_share_pct,representation_gap
RJSPS,8900.0,0.0014491035204923094,0.0,0.0,-0.0014491035204923094
PSPU,8884.0,0.0014464983905678288,0.0,0.0,-0.0014464983905678288
UKKD,8830.0,0.001437706077072707,0.0,0.0,-0.001437706077072707
VSP,8784.0,0.0014302163285398253,0.0,0.0,-0.0014302163285398253
JMM(U),8672.0,0.0014119804190684615,0.0,0.0,-0.0014119804190684615
SAAFP,8643.0,0.0014072586210803406,0.0,0.0,-0.0014072586210803406
RJNP,8609.0,0.0014017227199908193,0.0,0.0,-0.0014017227199908193
ADUP,8541.0,0.0013906509178117769,0.0,0.0,-0.0013906509178117769
KRUP,8510.0,0.001385603478583096,0.0,0.0,-0.001385603478583096
AKBJHP,8484.0,0.0013813701424558148,0.0,0.0,-0.0013813701424558148
BJAZP,8421.0,0.0013711124433781728,0.0,0.0,-0.0013711124433781728
LKSGM,8418.0,0.0013706239815173328,0.0,0.0,-0.0013706239815173328
RSWD,8381.0,0.0013645996185669713,0.0,0.0,-0.0013645996185669713
APKSP,8354.0,0.0013602034618194103,0.0,0.0,-0.0013602034618194103
OPD,8304.0,0.0013520624308054087,0.0,0.0,-0.0013520624308054087
ADRP,8285.0,0.001348968839020088,0.0,0.0,-0.001348968839020088
BRM,8260.0,0.0013448983235130872,0.0,0.0,-0.0013448983235130872
PMSP,8210.0,0.0013367572924990853,0.0,0.0,-0.0013367572924990853
SANVP,8205.0,0.0013359431893976853,0.0,0.0,-0.0013359431893976853
BAEP,8164.0,0.0013292675439662038,0.0,0.0,-0.0013292675439662038
AINHCP,8082.0,0.001315916253103241,0.0,0.0,-0.001315916253103241
NPRP,8007.0,0.0013037047065822384,0.0,0.0,-0.0013037047065822384
KMSP,7974.0,0.0012983316261129972,0.0,0.0,-0.0012983316261129972
IDRP,7784.0,0.0012673957082597906,0.0,0.0,-0.0012673957082597906
AVIRP,7697.0,0.0012532303142954275,0.0,0.0,-0.0012532303142954275
AKSP,7569.0,0.001232389274899583,0.0,0.0,-0.001232389274899583
RJAPU,7561.0,0.0012310867099373428,0.0,0.0,-0.0012310867099373428
BSSPA,7370.0,0.0011999879714638562,0.0,0.0,-0.0011999879714638562
MPP,7342.0,0.0011954289940960153,0.0,0.0,-0.0011954289940960153
ssrd,7325.0,0.0011926610435512546,0.0,0.0,-0.0011926610435512546
AgIMK,7320.0,0.0011918469404498544,0.0,0.0,-0.0011918469404498544
NAP,7294.0,0.0011876136043225737,0.0,0.0,-0.0011876136043225737
KBD,7255.0,0.0011812636001316522,0.0,0.0,-0.0011812636001316522
BHTJP,7210.0,0.0011739366722190506,0.0,0.0,-0.0011739366722190506
JHBHP,7192.0,0.00117100590105401,0.0,0.0,-0.00117100590105401
NDPOI,7081.0,0.0011529328122029262,0.0,0.0,-0.0011529328122029262
RTKP,6997.0,0.0011392558800994031,0.0,0.0,-0.0011392558800994031
RSMD,6918.0,0.0011263930510972805,0.0,0.0,-0.0011263930510972805
FPI,6884.0,0.0011208571500077593,0.0,0.0,-0.0011208571500077593
RsAD,6840.0,0.0011136930427154378,0.0,0.0,-0.0011136930427154378
BSP(A),6802.0,0.0011075058591447965,0.0,0.0,-0.0011075058591447965
SAKAP,6736.0,0.0010967596982063143,0.0,0.0,-0.0010967596982063143
BJNP,6735.0,0.0010965968775860343,0.0,0.0,-0.0010965968775860343
BHBHP,6730.0,0.001095782774484634,0.0,0.0,-0.001095782774484634
BBKD,6684.0,0.0010882930259517522,0.0,0.0,-0.0010882930259517522
NATJUP,6531.0,0.001063381471048907,0.0,0.0,-0.001063381471048907
BHMP,6511.0,0.0010601250586433064,0.0,0.0,-0.0010601250586433064
BHHF,6508.0,0.0010596365967824662,0.0,0.0,-0.0010596365967824662
RSJVP,6497.0,0.0010578455699593859,0.0,0.0,-0.0010578455699593859
AIJAP,6495.0,0.0010575199287188258,0.0,0.0,-0.0010575199287188258
PSJP,6469.0,0.001053286592591545,0.0,0.0,-0.001053286592591545
SaBP,6395.0,0.0010412378666908224,0.0,0.0,-0.0010412378666908224
SADSP,6368.0,0.0010368417099432614,0.0,0.0,-0.0010368417099432614
LSD,6313.0,0.0010278865758278593,0.0,0.0,-0.0010278865758278593
SDU,6283.0,0.0010230019572194584,0.0,0.0,-0.0010230019572194584
ManJP,6267.0,0.001020396827294978,0.0,0.0,-0.001020396827294978
MNDP,6198.0,0.0010091622044956555,0.0,0.0,-0.0010091622044956555
JGHTP,6171.0,0.0010047660477480946,0.0,0.0,-0.0010047660477480946
DABAP,6133.0,0.000998578864177453,0.0,0.0,-0.000998578864177453
rpsn,5982.0,0.000973992950515168,0.0,0.0,-0.000973992950515168
BBM,5971.0,0.0009722019236920875,0.0,0.0,-0.0009722019236920875
JeSM,5885.0,0.0009581993503480046,0.0,0.0,-0.0009581993503480046
NPSF,5798.0,0.0009440339563836416,0.0,0.0,-0.0009440339563836416
RASJGP,5768.0,0.0009391493377752405,0.0,0.0,-0.0009391493377752405
JaSD,5758.0,0.0009375211315724402,0.0,0.0,-0.0009375211315724402
ADPT,5682.0,0.0009251467644311575,0.0,0.0,-0.0009251467644311575
BhNP,5674.0,0.0009238441994689172,0.0,0.0,-0.0009238441994689172
KPOI,5647.0,0.0009194480427213562,0.0,0.0,-0.0009194480427213562
cvgrp,5540.0,0.0009020262363513926,0.0,0.0,-0.0009020262363513926
AYSRCP,5511.0,0.0008973044383632715,0.0,0.0,-0.0008973044383632715
ASaP,5504.0,0.0008961646940213114,0.0,0.0,-0.0008961646940213114
ETMK,5482.0,0.0008925826403751505,0.0,0.0,-0.0008925826403751505
PRJP,5451.0,0.0008875352011464694,0.0,0.0,-0.0008875352011464694
UPP,5351.0,0.000871253139118466,0.0,0.0,-0.000871253139118466
SDC,5321.0,0.000866368520510065,0.0,0.0,-0.000866368520510065
ABML(S),5179.0,0.0008432479924302999,0.0,0.0,-0.0008432479924302999
ANNADATA,5147.0,0.0008380377325813389,0.0,0.0,-0.0008380377325813389
AMPK,5089.0,0.0008285941366050969,0.0,0.0,-0.0008285941366050969
SwaBP,5064.0,0.0008245236210980961,0.0,0.0,-0.0008245236210980961
SNP,5027.0,0.0008184992581477347,0.0,0.0,-0.0008184992581477347
MKDVP,5017.0,0.0008168710519449344,0.0,0.0,-0.0008168710519449344
SAJP,4991.0,0.0008126377158176535,0.0,0.0,-0.0008126377158176535
SAPRP,4983.0,0.0008113351508554132,0.0,0.0,-0.0008113351508554132
ILP(AP),4923.0,0.0008015659136386111,0.0,0.0,-0.0008015659136386111
bns,4917.0,0.000800588989916931,0.0,0.0,-0.000800588989916931
PPIS,4914.0,0.0008001005280560908,0.0,0.0,-0.0008001005280560908
DPIN,4913.0,0.0007999377074358107,0.0,0.0,-0.0007999377074358107
RJANSWP,4897.0,0.0007973325775113303,0.0,0.0,-0.0007973325775113303
JANKRPR,4873.0,0.0007934248826246094,0.0,0.0,-0.0007934248826246094
ALoP,4856.0,0.0007906569320798487,0.0,0.0,-0.0007906569320798487
