state,constituency,candidate,gender,age,category,party,party_symbol,total_votes_polled_in_the_constituency,valid_votes,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,over_total_valid_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes,raw_swing,sim_vote_share,sim_rank
Rajasthan,RAJSAMAND,NOTA,,,,NOTA,NOTA,1214423.0,1200719.0,12339.0,72.0,12411.0,0.6,1.02,1.03,2064478.0,2024,3.0,False,1.023056061592739,9135.0,,0.0,1.023056061592739,3.0
Rajasthan,RAJSAMAND,RAMAKISHAN BHADU,MALE,78.0,GENERAL,BSP,Elephant,1214423.0,1200719.0,9097.0,38.0,9135.0,0.44,0.75,0.76,2064478.0,2024,4.0,False,0.7530108067560772,7831.0,,0.0,0.7530108067560772,4.0
Rajasthan,RAJSAMAND,NEERU RAM KAPRI,MALE,54.0,GENERAL,IND,Tyres,1214423.0,1200719.0,7820.0,11.0,7831.0,0.38,0.64,0.65,2064478.0,2024,5.0,False,0.6455202657588222,4053.0,,0.0,0.6455202657588222,5.0
Rajasthan,RAJSAMAND,DHARAM SINGH RAWAT,MALE,39.0,GENERAL,IND,Almirah,1214423.0,1200719.0,3993.0,60.0,4053.0,0.2,0.33,0.34,2064478.0,2024,6.0,False,0.3340944498940756,3374.0,,0.0,0.3340944498940756,6.0
Rajasthan,RAJSAMAND,NARAYAN SONI,MALE,42.0,GENERAL,IND,Hockey and ball,1214423.0,1200719.0,3367.0,7.0,3374.0,0.16,0.28,0.28,2064478.0,2024,7.0,False,0.2781235316907504,1940.0,,0.0,0.2781235316907504,7.0
Rajasthan,RAJSAMAND,GHANSHYAM SINGH,MALE,65.0,GENERAL,BHRJAP,Ganna kisan,1214423.0,1200719.0,1917.0,23.0,1940.0,0.09,0.16,0.16,2064478.0,2024,8.0,False,0.1599169091523579,1815.0,,0.0,0.1599169091523579,8.0
Rajasthan,RAJSAMAND,JITENDRA KUMAR KHATIK,MALE,48.0,SC,IND,Matchbox,1214423.0,1200719.0,1802.0,13.0,1815.0,0.09,0.15,0.15,2064478.0,2024,9.0,False,0.149612984593572,1244.0,,0.0,0.149612984593572,9.0
Rajasthan,RAJSAMAND,DR. ARPIT CHHAJER,MALE,32.0,GENERAL,IND,Computer,1214423.0,1200719.0,1235.0,9.0,1244.0,0.06,0.1,0.1,2064478.0,2024,10.0,False,0.1025446572090377,1144.0,,0.0,0.1025446572090377,10.0
Rajasthan,RAJSAMAND,PRAMOD KUMAR VERMA,MALE,57.0,SC,BTC,Drill machine,1214423.0,1200719.0,1134.0,10.0,1144.0,0.06,0.09,0.1,2064478.0,2024,11.0,False,0.094301517562009,,,0.0,0.094301517562009,11.0
Rajasthan,SIKAR,AMRARAM,MALE,68.0,GENERAL,CPI(M),"Hammer, Sickle and Star",1304337.0,1293590.0,645559.0,13741.0,659300.0,29.53,50.55,50.97,2232334.0,2024,1.0,True,50.68201245948821,586404.0,72896.0,0.0,50.6820124594882,1.0
Rajasthan,SIKAR,SUMEDHANAND SARASWATI,MALE,72.0,GENERAL,BJP,Lotus,1304337.0,1293590.0,574740.0,11664.0,586404.0,26.27,44.96,45.33,2232334.0,2024,2.0,False,45.07831766160129,10021.0,,0.0,45.078317661601275,2.0
Rajasthan,SIKAR,SURESH PAREEK,MALE,40.0,GENERAL,IND,Gas cylinder,1304337.0,1293590.0,10014.0,7.0,10021.0,0.45,0.77,0.77,2232334.0,2024,3.0,False,0.7703389152988493,8619.0,,0.0,0.7703389152988491,3.0
Rajasthan,SIKAR,AMARCHAND,MALE,39.0,GENERAL,BSP,Elephant,1304337.0,1293590.0,8293.0,326.0,8619.0,0.39,0.66,0.67,2232334.0,2024,4.0,False,0.6625637272688137,7266.0,,0.0,0.6625637272688135,4.0
Rajasthan,SIKAR,NOTA,,,,NOTA,NOTA,1304337.0,1293590.0,7081.0,185.0,7266.0,0.33,0.56,0.56,2232334.0,2024,5.0,False,0.5585552897476739,6025.0,,0.0,0.5585552897476738,5.0
Rajasthan,SIKAR,RAVINDRA SINGH SHEKHAWAT,MALE,43.0,GENERAL,IND,Ganna kisan,1304337.0,1293590.0,5775.0,250.0,6025.0,0.27,0.46,0.47,2232334.0,2024,6.0,False,0.4631565676754383,5803.0,,0.0,0.46315656767543817,6.0
Rajasthan,SIKAR,VISHNU KUMAR NATRAJ,MALE,74.0,GENERAL,IND,Gas Stove,1304337.0,1293590.0,5796.0,7.0,5803.0,0.26,0.44,0.45,2232334.0,2024,7.0,False,0.4460908816963599,5382.0,,0.0,0.4460908816963598,7.0
