party,candidate_count,party_type,alliance_2024,ideology,region
SMARTIP,1,unknown,OTHER,unknown,unknown
SamSP,1,unknown,OTHER,unknown,unknown
NWLP,1,unknown,OTHER,unknown,unknown
LSMP,1,unknown,OTHER,unknown,unknown
SJSMP,1,unknown,OTHER,unknown,unknown
BSaP,1,unknown,OTHER,unknown,unknown
AKNDBRTSMR,1,unknown,OTHER,unknown,unknown
RSTHNDEKD,1,unknown,OTHER,unknown,unknown
PSPU,1,unknown,OTHER,unknown,unknown
MANBP,1,unknown,OTHER,unknown,unknown
ABHKP,1,unknown,OTHER,unknown,unknown
BHJMP,1,unknown,OTHER,unknown,unknown
APKGNTRP,1,unknown,OTHER,unknown,unknown
ANRP,1,unknown,OTHER,unknown,unknown
RTJNMS,1,unknown,OTHER,unknown,unknown
rpsn,1,unknown,OTHER,unknown,unknown
PUNP,1,unknown,OTHER,unknown,unknown
AINRS,1,unknown,OTHER,unknown,unknown
ABMP,1,unknown,OTHER,unknown,unknown
WPOI,1,unknown,OTHER,unknown,unknown
KMGRKSNP,1,unknown,OTHER,unknown,unknown
BLKSKTIP,1,unknown,OTHER,unknown,unknown
LKRJJNTP,1,unknown,OTHER,unknown,unknown
ABHRTJNSVP,1,unknown,OTHER,unknown,unknown
RSSDP,1,unknown,OTHER,unknown,unknown
RSHTBHUP,1,unknown,OTHER,unknown,unknown
BPS,1,unknown,OTHER,unknown,unknown
BMAP,1,unknown,OTHER,unknown,unknown
ABML(S),1,unknown,OTHER,unknown,unknown
BJVA,1,unknown,OTHER,unknown,unknown
RJSNP,1,unknown,OTHER,unknown,unknown
BAAP,1,unknown,OTHER,unknown,unknown
AimPP,1,unknown,OTHER,unknown,unknown
KNBHJSWP,1,unknown,OTHER,unknown,unknown
BHRASP,1,unknown,OTHER,unknown,unknown
