sr_no,party_type,abbreviation,party_symbol,party_name,year
237,U,BPS,Sewing machine,Bharat Peoples Sena,2024
238,U,BPSJP,"Auto- rickshaw,Ring",Bharatiya Praja Surajya Paksha,2024
239,U,BRED,Camera,Bhartiya Rashtriya Ekta Dal,2024
240,U,BRJ,Battery Torch,Bhartiya Rashtriya Jansatta,2024
241,U,BRKP(D),Bat,Bharat Rakshak Party (Democratic),2024
242,U,BRM,Bench,Bharatiya Rashtriya Morcha,2024
243,U,BRMNP,"Telephone,Toffees",Bhartiya Manavta Party,2024
244,U,BRRTD,"Battery Torch,Brush,Carrom board,Computer,Kettle,Rubber stamp",Bhartiya Rashtriya Dal,2024
245,U,BRSBD,Bucket,Bhartiya Sabka Dal,2024
246,U,BRTYLKNYKP,Road roller,Bhartiya Lok Nayak Party,2024
247,U,BSaP,Cauliflower,Bhartiya Samajik Party,2024
248,U,BSCP,"Air conditioner,Envelope,Flute,Truck",Bhartiya Shakti Chetna Party,2024
249,U,BSKRP,Auto- rickshaw,Bharatiya Sampuran Krantikari Party,2024
250,U,BSP(A),"Gas cylinder,Mike",Bahujan Samaj Party (Ambedkar),2024
251,U,BSSSSP,Water tank,Bahujan Shoshit Samaj Sangharsh Samta Party,2024
252,U,BTC,Drill machine,Bheem Tribal Congress,2024
253,U,BTJP,Trumpet,Bhartiya Jan Parishad,2024
254,U,BTJSP,Auto- rickshaw,Bhartiya Jan Samrat Party,2024
255,U,BTMSP,Telephone,Bhartiya Mahasangh Party,2024
256,U,BUJNBHRTP,"Bat,Battery Torch,Ganna kisan,Ship,Whistle",Bahujan Bharat Party,2024
257,U,BUP,Pot,Bhumiputra United Party,2024
258,U,BVA,Whistle,Bahujan Vikas Aaghadi,2024
259,U,BVD,Whistle,Bhartiya Veer Dal,2024
260,U,BYKD,"Diamond,Switchboard",Bharathiya YuvaKula Dalam,2024
261,U,BYPP,Apple,Bhartiya Panchyat Party,2024
262,U,CAPS,Nagrik,Citizen Action Party-Sikkim,2024
263,U,CCP,Coconut farm,Country Citizen Party,2024
264,U,CHALP,Almirah,Challengers Party,2024
265,U,CHNYUTP,"Pen nib with seven rays,Scissors",Chennai Youth Party,2024
266,U,CoAP,Football player,Corruption Abolition Party,2024
267,U,CSBGP,Apple,Chhatrapati Shivaji Bhartiya Garib Party,2024
268,U,cvgrp,Diesel pump,Chhattisgarh Vikas Ganga Rashtriya Party,2024
269,U,DABAP,"Almirah,Gas cylinder,Glass tumbler",Dalita Bahujana Party,2024
270,U,DAMK,Water melon,Dhesiya Makkal Kazhagam,2024
271,U,DaP,"Bat,Table",Dharmarajya Paksha,2024
